Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A768027,Marquette And Haney Drive in Austin (TX),Stray,Normal,Dog,Intact Male,Pug,Fawn,Intact Male,positive,3654,3652
A750882,Manchaca And Slaughter in Austin (TX),Stray,Normal,Dog,Intact Female,Border Collie Mix,White/Black,Spayed Female,positive,741,731
A808978,Jonestown (TX),Owner Surrender,Normal,Dog,Intact Male,Dachshund/Chihuahua Longhair,Cream/White,Neutered Male,positive,57,56
A793306,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,Great Dane Mix,Black,Neutered Male,positive,70,68
A750029,11413 Darrin Ln in Travis (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,70,30
A702315,911 North Meadow Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Blue,Neutered Male,positive,76,37
A763042,10312 Catherine in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White/Brown Tabby,Spayed Female,positive,128,106
A802270,Adina And Bandera in Austin (TX),Stray,Nursing,Dog,Intact Male,Pit Bull Mix,White/Black,Intact Male,positive,23,7
A666221,12034 Research Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,Beagle,Tricolor,Intact Female,positive,365,365
A795947,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,Old English Sheepdog Mix,Gray/White,Spayed Female,positive,1835,1830
A692613,1306 Perez St in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie/White,Intact Female,positive,67,53
A691425,4106 N.Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,Pointer Mix,White/Black,Spayed Female,positive,754,730
A786098,South Mopac Expressway And 360 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,60,36
A757463,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,Vizsla Mix,Brown,Spayed Female,positive,1462,1462
A734801,7600 Timber Hills Dr in Del Valle (TX),Stray,Normal,Dog,Intact Male,Anatol Shepherd/Black Mouth Cur,Tan/Black,Neutered Male,positive,195,184
